STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
071560,99999, 20160511,   59.8,24,   56.8,24, 1002.8,24,  993.7,24,   6.5,24,   2.2,24,   5.1, 999.9,   64.9 ,  56.5 , 0.20G,999.9, 010000,
071560,99999, 20160512,   61.0,24,   56.3,24,  999.8,24,  990.7,24,   8.3,24,   2.8,24,   6.0, 999.9,   67.3 ,  56.5 , 0.26G,999.9, 010000,
071560,99999, 20160513,   62.5,24,   55.1,24, 1004.4,24,  995.3,24,   5.6,24,   6.1,24,  13.0, 999.9,   74.5 ,  54.3*, 0.58G,999.9, 010000,
071560,99999, 20160514,   51.9,24,   39.4,24, 1016.8,24, 1007.4,24,  12.0,24,  10.0,24,  13.0, 999.9,   69.4 ,  47.7*, 0.01G,999.9, 000000,
071560,99999, 20160515,   52.5,24,   37.3,24, 1023.6,24, 1014.1,24,  12.4,24,   4.2,24,   8.0, 999.9,   61.2 ,  43.5 , 0.00G,999.9, 000000,
071560,99999, 20160516,   56.3,24,   42.3,24, 1021.9,24, 1012.5,24,  12.0,24,   4.2,24,   8.0, 999.9,   63.5 ,  48.6 , 0.00G,999.9, 000000,
071560,99999, 20160517,   57.6,24,   43.4,24, 1018.8,24, 1009.5,24,  11.7,24,   3.5,24,   7.0, 999.9,   66.2 ,  46.9 , 0.00G,999.9, 000000,
071560,99999, 20160518,   56.9,24,   47.1,24, 1009.6,24, 1000.3,24,  11.8,24,   6.4,24,  11.1, 999.9,   62.4 ,  50.2*, 0.00G,999.9, 010000,
071560,99999, 20160519,   54.6,24,   46.8,24, 1013.9,24, 1004.5,24,  11.4,24,   5.8,24,   9.9, 999.9,   63.3 ,  48.6 , 0.29G,999.9, 010000,
071560,99999, 20160520,   61.0,24,   52.4,24, 1018.8,24, 1009.5,24,  12.3,24,   5.0,24,   7.0, 999.9,   71.4 ,  52.3 , 0.04G,999.9, 000000,
